,Player,Team,DYAR,DVOA,QBR,Passes,EYds,TD,INT,C%,Year
1550,B.Volek,SD,64,18.5%,56.0,32,261,1,1,64.5%,2009
1551,C.Pennington,MIA,14,-8.5%,57.3,79,429,1,1,71.2%,2009
1552,M.Vick,PHI,3,-7.4%,53.1,13,78,1,0,46.2%,2009
1553,B.Hoyer,NE,-1,-11.5%,46.8,29,138,0,0,70.4%,2009
1554,D.Dixon,PIT,-11,-18.4%,42.2,26,107,1,1,46.2%,2009
1555,M.Leinart,ARI,-17,-14.5%,57.7,79,373,0,3,66.2%,2009
1556,M.Flynn,GB,-38,-53.7%,9.9,13,20,0,1,58.3%,2009
1557,K.Clemens,NYJ,-45,-38.3%,11.1,29,73,0,0,52.0%,2009
1558,M.Brunell,NO,-75,-50.2%,4.1,31,52,0,1,50.0%,2009
1559,J.T.O'Sullivan,CIN,-84,-155.9%,1.5,14,-68,0,0,40.0%,2009
1560,T.Collins,WAS,-88,-78.9%,5.7,26,-15,0,0,52.2%,2009
1561,B.Brohm,BUF,-92,-56.0%,10.2,31,40,0,2,58.6%,2009
1562,C.Frye,OAK,-98,-26.2%,38.3,92,390,1,4,62.4%,2009
1563,C.Painter,IND,-139,-82.5%,0.3,31,-32,0,2,28.6%,2009
1564,C.Simms,DEN,-177,-158.8%,0.7,22,-143,0,1,29.4%,2009
1565,D.Stanton,DET,-243,-74.3%,8.5,57,-21,0,6,51.9%,2009
1566,T.Brady,NE,"1,918",46.7%,76.9,518,"5,276",36,3,66.0%,2010
1567,P.Rivers,SD,"1,430",27.9%,63.4,582,"4,903",30,13,66.4%,2010
1568,P.Manning,IND,"1,400",19.0%,69.0,696,"5,643",33,16,66.3%,2010
1569,A.Rodgers,GB,"1,288",26.9%,69.4,505,"4,474",28,10,66.2%,2010
1570,M.Ryan,ATL,"1,120",18.0%,69.7,593,"4,622",28,9,62.8%,2010
1571,D.Brees,NO,"1,093",13.3%,65.4,681,"5,073",33,21,68.5%,2010
1572,B.Roethlisberger,PIT,"1,061",31.1%,64.2,414,"3,469",17,5,63.3%,2010
1573,M.Schaub,HOU,930,12.2%,57.9,606,"4,480",24,12,64.3%,2010
1574,J.Freeman,TB,816,13.9%,64.6,503,"3,736",25,6,61.6%,2010
1575,C.Palmer,CIN,739,7.1%,43.5,613,"4,272",26,20,62.1%,2010
1576,J.Flacco,BAL,695,9.4%,60.4,529,"3,676",25,9,62.6%,2010
1577,M.Vick,PHI,663,14.1%,68.2,404,"3,019",21,6,63.1%,2010
1578,K.Orton,DEN,663,8.3%,48.0,531,"3,650",20,9,59.3%,2010
1579,M.Cassel,KC,589,8.4%,52.3,471,"3,227",27,7,59.3%,2010
1580,E.Manning,NYG,547,4.2%,65.5,555,"3,630",31,24,63.4%,2010
1581,S.Hill,DET,486,6.7%,41.8,431,"2,861",16,12,62.3%,2010
1582,C.Henne,MIA,402,1.0%,42.5,521,"3,211",15,18,61.8%,2010
1583,V.Young,TEN,353,20.5%,70.6,170,"1,379",10,2,59.6%,2010
1584,T.Romo,DAL,334,13.3%,56.4,220,"1,557",11,7,69.8%,2010
1585,M.Sanchez,NYJ,234,-4.3%,48.2,531,"3,090",17,13,55.5%,2010
1586,J.Kitna,DAL,234,-0.5%,46.0,339,"2,085",16,12,66.0%,2010
1587,D.Garrard,JAC,227,-1.8%,60.3,398,"2,272",23,15,64.8%,2010
1588,R.Fitzpatrick,BUF,223,-3.6%,48.3,466,"2,676",23,15,58.1%,2010
1589,D.Stanton,DET,174,12.2%,42.4,123,840,4,3,59.5%,2010
1590,S.Wallace,CLE,151,11.3%,38.4,107,749,4,2,63.4%,2010
1591,K.Collins,TEN,150,-3.2%,58.7,290,"1,720",14,8,58.2%,2010
1592,C.McCoy,CLE,146,-1.9%,45.1,245,"1,461",6,9,61.3%,2010
1593,D.McNabb,WAS,133,-6.9%,38.9,509,"2,690",14,13,58.5%,2010
1594,M.Stafford,DET,91,3.0%,58.1,100,646,6,1,59.4%,2010
1595,J.Cutler,CHI,81,-8.5%,48.5,484,"2,552",23,16,60.4%,2010
1596,J.Campbell,OAK,23,-10.1%,48.5,361,"1,797",13,8,59.6%,2010
1597,K.Kolb,PHI,12,-10.2%,35.7,200,"1,026",7,3,61.6%,2010
1598,A.Smith,SF,-26,-12.2%,40.9,364,"1,830",14,10,61.1%,2010
1599,T.Smith,SF,-94,-20.0%,32.0,166,728,5,4,51.4%,2010
1600,B.Gradkowski,OAK,-106,-21.0%,31.5,167,719,5,7,53.2%,2010
1601,R.Grossman,WAS,-129,-24.7%,32.5,141,596,7,4,56.9%,2010
1602,C.Whitehurst,SEA,-141,-33.2%,23.0,106,323,2,3,58.0%,2010
1603,M.Hasselbeck,SEA,-173,-16.8%,40.4,472,"2,208",12,17,60.3%,2010
1604,S.Bradford,STL,-178,-15.6%,41.5,622,"3,006",18,13,60.4%,2010
1605,B.Favre,MIN,-291,-23.1%,25.4,382,"1,568",11,19,61.1%,2010
1606,D.Anderson,ARI,-308,-25.4%,35.7,352,"1,324",7,10,51.8%,2010
1607,J.Delhomme,CLE,-313,-42.7%,26.5,155,374,2,7,63.5%,2010
1608,M.Moore,CAR,-324,-42.8%,25.0,155,383,5,9,55.6%,2010
1609,T.Edwards,2TM,-335,-58.3%,21.8,112,117,2,5,55.0%,2010
1610,J.Skelton,ARI,-348,-53.4%,24.6,134,186,2,2,48.0%,2010
1611,J.Clausen,CAR,-749,-48.0%,11.8,336,621,3,9,53.0%,2010
1612,T.Tebow,DEN,135,13.6%,57.5,87,619,5,3,51.3%,2010
1613,T.Thigpen,MIA,47,-0.3%,36.9,70,412,2,2,53.2%,2010
1614,L.McCown,JAC,44,26.0%,37.0,19,154,0,0,57.9%,2010
1615,T.Bouman,JAC,39,5.0%,58.5,35,249,2,2,52.9%,2010
1616,B.Hoyer,NE,27,16.1%,39.1,15,118,1,1,46.7%,2010
1617,J.Johnson,TB,18,7.0%,80.7,18,103,0,0,87.5%,2010
1618,M.Brunell,NYJ,2,-9.0%,51.0,14,80,2,1,53.8%,2010
1619,M.Flynn,GB,-24,-15.9%,23.3,73,369,3,2,60.6%,2010
1620,S.McGee,DAL,-25,-19.5%,44.9,47,207,2,0,52.4%,2010
1621,T.Pike,CAR,-29,-45.2%,2.6,13,29,0,0,50.0%,2010
1622,D.Carr,SF,-31,-60.1%,4.8,13,10,0,1,41.7%,2010
1623,C.Batch,PIT,-43,-24.0%,54.8,54,211,3,3,61.2%,2010
1624,D.Dixon,PIT,-81,-45.6%,32.1,38,79,0,1,68.8%,2010
1625,J.Webb,MIN,-86,-24.7%,47.4,97,391,0,3,60.7%,2010
1626,R.Bartel,ARI,-103,-54.7%,6.1,30,51,0,1,57.1%,2010
1627,B.St. Pierre,CAR,-106,-80.6%,5.9,31,-21,1,2,46.4%,2010
1628,T.Jackson,MIN,-110,-37.1%,35.0,65,192,3,4,58.6%,2010
1629,B.Croyle,KC,-139,-128.0%,6.0,23,-93,0,1,42.1%,2010
1630,B.Brohm,BUF,-191,-130.9%,4.3,26,-132,0,3,43.5%,2010
1631,R.Smith,TEN,-196,-98.7%,8.1,41,-84,0,4,50.0%,2010
1632,T.Collins,CHI,-289,-163.8%,1.3,29,-241,0,5,37.0%,2010
1633,M.Hall,ARI,-550,-105.7%,3.7,92,-280,1,6,50.0%,2010
1634,D.Brees,NO,"2,259",38.3%,84.0,678,"6,763",46,14,71.7%,2011
1635,A.Rodgers,GB,"2,059",46.6%,86.2,537,"5,671",45,6,68.7%,2011
1636,T.Brady,NE,"1,997",35.4%,72.7,645,"6,155",40,12,66.0%,2011
1637,T.Romo,DAL,"1,344",26.8%,71.4,555,"4,683",31,10,66.9%,2011
1638,M.Stafford,DET,"1,170",14.9%,65.5,700,"5,204",41,16,63.6%,2011
1639,M.Ryan,ATL,"1,118",18.7%,69.0,587,"4,539",29,11,62.1%,2011
1640,P.Rivers,SD,"1,118",17.0%,62.7,610,"4,728",27,20,63.3%,2011
1641,E.Manning,NYG,"1,109",16.2%,59.4,618,"4,783",29,16,61.4%,2011
1642,B.Roethlisberger,PIT,867,13.3%,63.6,555,"4,038",21,14,63.6%,2011
1643,M.Schaub,HOU,701,24.4%,67.4,307,"2,542",15,6,61.7%,2011
1644,M.Vick,PHI,652,11.6%,64.4,443,"3,194",18,13,60.8%,2011
1645,A.Dalton,CIN,575,5.6%,45.6,540,"3,550",20,13,58.3%,2011
1646,A.Smith,SF,442,3.1%,46.1,492,"3,093",17,5,61.7%,2011
1647,J.Flacco,BAL,409,0.0%,59.6,574,"3,527",20,12,57.7%,2011
1648,C.Newton,CAR,404,0.8%,55.0,551,"3,287",21,17,60.3%,2011
1649,M.Hasselbeck,TEN,390,0.5%,62.6,536,"3,208",18,14,61.8%,2011
1650,J.Campbell,OAK,340,19.8%,54.3,169,"1,348",6,3,61.0%,2011
1651,C.Palmer,OAK,296,2.5%,62.6,344,"2,145",13,16,61.2%,2011
1652,R.Fitzpatrick,BUF,189,-6.2%,50.5,591,"3,383",24,23,62.5%,2011
1653,T.Jackson,SEA,161,-6.0%,37.7,495,"2,719",14,9,60.8%,2011
1654,J.Cutler,CHI,157,-3.5%,59.7,339,"1,867",13,7,58.1%,2011
1655,M.Moore,MIA,135,-5.7%,56.7,388,"2,185",16,9,60.6%,2011
1656,D.Orlovsky,IND,121,-2.2%,49.9,204,"1,258",6,4,64.2%,2011
1657,K.Orton,2TM,97,-5.4%,49.8,262,"1,483",9,9,60.4%,2011
1658,R.Grossman,WAS,96,-8.0%,43.9,481,"2,574",16,19,58.5%,2011
1659,D.McNabb,MIN,70,-4.8%,44.3,172,991,4,2,60.3%,2011
1660,C.Henne,MIA,67,-2.7%,63.4,123,728,4,4,57.1%,2011
1661,K.Clemens,STL,-6,-12.0%,25.2,100,524,2,1,53.3%,2011
1662,S.Wallace,CLE,-17,-13.6%,43.7,111,543,2,2,52.4%,2011
1663,K.Collins,IND,-50,-18.9%,13.8,102,454,2,1,50.5%,2011
1664,M.Sanchez,NYJ,-53,-12.5%,33.6,581,"2,935",26,17,57.2%,2011
1665,T.J.Yates,HOU,-81,-19.7%,45.8,148,648,3,3,63.4%,2011
1666,V.Young,PHI,-83,-21.7%,38.4,122,522,4,9,57.9%,2011
1667,J.Freeman,TB,-96,-13.7%,45.3,575,"2,883",16,22,63.8%,2011
1668,K.Kolb,ARI,-133,-18.5%,34.4,282,"1,285",9,8,58.6%,2011
1669,C.McCoy,CLE,-133,-15.2%,40.0,498,"2,491",14,11,57.6%,2011
1670,J.Beck,WAS,-143,-26.1%,31.1,147,576,2,4,61.5%,2011
1671,T.Palko,KC,-150,-27.9%,24.6,145,515,2,7,60.9%,2011
1672,A.J.Feeley,STL,-192,-40.7%,18.6,107,262,1,2,54.6%,2011
1673,T.Tebow,DEN,-221,-22.7%,29.4,301,"1,238",12,6,47.0%,2011
1674,M.Cassel,KC,-277,-25.9%,50.7,291,"1,134",10,8,59.9%,2011
1675,J.Skelton,ARI,-326,-27.6%,34.6,298,"1,159",11,14,55.3%,2011
1676,S.Bradford,STL,-329,-24.2%,28.6,396,"1,583",6,6,53.7%,2011
1677,C.Painter,IND,-375,-33.3%,22.5,261,855,6,9,54.5%,2011
1678,C.Ponder,MIN,-404,-31.5%,33.7,321,"1,052",13,12,54.7%,2011
1679,C.Hanie,CHI,-470,-78.7%,9.5,118,-77,3,8,51.5%,2011
1680,B.Gabbert,JAC,"-1,009",-46.5%,20.6,457,926,12,11,51.1%,2011
1681,M.Flynn,GB,225,47.3%,90.4,54,617,6,2,67.3%,2011
1682,J.Locker,TEN,143,22.0%,44.8,70,544,4,0,52.3%,2011
1683,J.Delhomme,HOU,26,2.4%,50.4,30,188,1,0,67.9%,2011
1684,M.Leinart,HOU,14,4.8%,58.4,13,90,1,0,76.9%,2011
1685,C.Redman,ATL,8,-6.2%,26.4,28,149,0,1,64.3%,2011
1686,J.Kitna,DAL,4,-5.3%,43.5,10,56,1,2,60.0%,2011
1687,S.McGee,DAL,3,-10.0%,51.0,41,183,1,0,63.2%,2011
1688,C.Batch,PIT,0,-11.1%,26.1,26,138,0,1,62.5%,2011
1689,J.Webb,MIN,-12,-13.8%,57.2,66,333,3,2,54.0%,2011
1690,M.Kafka,PHI,-30,-38.0%,24.2,17,49,0,2,68.8%,2011
1691,R.Bartel,ARI,-32,-32.2%,77.4,23,79,1,1,45.5%,2011
1692,B.Gradkowski,CIN,-51,-58.5%,24.5,19,17,1,1,44.4%,2011
1693,J.P.Losman,MIA,-66,-96.0%,2.6,15,-18,0,0,60.0%,2011
1694,J.Johnson,TB,-91,-46.8%,45.2,39,82,1,2,52.8%,2011
1695,J.McCown,CHI,-147,-50.6%,26.0,62,100,2,4,63.6%,2011
1696,K.Boller,OAK,-158,-95.4%,2.3,32,-64,0,3,53.6%,2011
1697,C.Whitehurst,SEA,-160,-49.2%,17.9,64,120,1,1,48.2%,2011
1698,L.McCown,JAC,-250,-73.4%,13.4,61,-17,0,4,53.6%,2011
1699,T.Brady,NE,"2,035",35.1%,77.1,662,"6,312",34,8,63.5%,2012
1700,P.Manning,DEN,"1,805",32.8%,84.1,602,"5,751",37,11,69.0%,2012
1701,D.Brees,NO,"1,441",19.8%,67.9,693,"5,711",43,18,63.7%,2012
1702,A.Rodgers,GB,"1,395",23.4%,72.5,602,"5,156",39,8,67.7%,2012
1703,M.Ryan,ATL,"1,196",16.5%,74.5,644,"5,106",32,14,68.6%,2012
1704,M.Stafford,DET,"1,160",12.2%,58.9,753,"5,576",20,17,60.2%,2012
1705,T.Romo,DAL,"1,156",14.8%,62.7,683,"5,146",28,19,66.1%,2012
1706,R.Wilson,SEA,872,19.7%,69.6,432,"3,467",26,9,64.6%,2012
1707,B.Roethlisberger,PIT,761,13.2%,62.8,473,"3,558",25,8,64.3%,2012
1708,E.Manning,NYG,753,9.0%,67.4,555,"4,032",26,15,60.1%,2012
1709,R.Griffin,WAS,727,16.6%,71.4,425,"3,104",20,5,66.6%,2012
1710,M.Schaub,HOU,697,7.5%,62.6,572,"3,958",22,12,64.3%,2012
1711,C.Kaepernick,SF,555,25.8%,76.8,234,"1,957",10,3,62.7%,2012
1712,C.Newton,CAR,422,2.0%,54.2,521,"3,186",19,12,58.1%,2012
1713,A.Smith,SF,418,14.8%,70.1,243,"1,866",13,5,70.3%,2012
1714,S.Bradford,STL,388,-0.8%,51.6,580,"3,545",21,12,60.4%,2012
1715,J.Flacco,BAL,358,-1.3%,46.8,566,"3,419",22,10,59.7%,2012
1716,C.Palmer,OAK,340,-2.2%,44.7,592,"3,535",22,14,61.7%,2012
1717,A.Luck,IND,257,-5.1%,65.0,662,"3,793",23,17,55.0%,2012
1718,A.Dalton,CIN,194,-5.9%,50.7,571,"3,236",27,15,62.8%,2012
1719,C.Ponder,MIN,173,-6.1%,53.8,516,"3,012",18,12,62.2%,2012
1720,P.Rivers,SD,138,-7.3%,40.6,576,"3,122",26,14,64.7%,2012
1721,R.Fitzpatrick,BUF,120,-7.6%,45.8,533,"2,916",24,16,60.8%,2012
1722,J.Freeman,TB,118,-8.0%,53.1,583,"3,178",27,17,55.1%,2012
1723,R.Tannehill,MIA,39,-9.9%,52.3,517,"2,694",12,13,58.5%,2012
1724,M.Hasselbeck,TEN,-6,-11.5%,48.5,236,"1,206",7,5,62.4%,2012
1725,M.Vick,PHI,-78,-14.4%,46.0,380,"1,833",12,10,58.6%,2012
1726,J.Cutler,CHI,-81,-13.8%,51.9,474,"2,318",19,14,58.9%,2012
1727,K.Kolb,ARI,-154,-23.1%,38.0,210,827,8,3,59.6%,2012
1728,N.Foles,PHI,-166,-20.4%,45.3,286,"1,217",6,5,61.8%,2012
1729,J.Locker,TEN,-265,-23.6%,48.1,341,"1,347",10,10,56.9%,2012
1730,B.Gabbert,JAC,-268,-25.3%,40.9,301,"1,163",9,6,58.3%,2012
1731,C.Henne,JAC,-286,-24.6%,29.9,334,"1,333",11,10,54.4%,2012
1732,B.Weeden,CLE,-291,-19.4%,26.6,546,"2,428",14,17,57.8%,2012
1733,J.Skelton,ARI,-324,-35.0%,13.9,216,652,2,8,54.5%,2012
1734,M.Cassel,KC,-353,-30.4%,36.5,291,996,6,11,59.9%,2012
1735,B.Quinn,KC,-440,-43.8%,27.4,219,489,2,7,57.1%,2012
1736,R.Lindley,ARI,-482,-55.8%,9.8,184,215,0,7,52.0%,2012
1737,M.Sanchez,NYJ,-593,-29.4%,23.4,487,"1,812",13,18,54.6%,2012
1738,S.Hill,DET,128,136.4%,76.8,12,245,2,0,83.3%,2012
1739,K.Orton,DAL,95,110.7%,99.4,10,192,1,0,90.0%,2012
1740,K.Cousins,WAS,59,6.4%,72.7,51,352,4,3,70.2%,2012
1741,T.Lewis,CLE,42,6.5%,58.6,35,246,1,1,68.8%,2012
1742,M.Moore,MIA,40,15.5%,59.7,21,174,1,0,57.9%,2012
1743,C.McCoy,CLE,10,-2.7%,13.1,21,116,1,0,52.9%,2012
1744,T.Pryor,OAK,4,-9.1%,59.7,31,166,2,1,48.4%,2012
1745,B.Gradkowski,CIN,-3,-14.9%,54.7,12,60,0,0,45.5%,2012
1746,C.Batch,PIT,-8,-13.0%,34.8,74,359,1,4,64.8%,2012
1747,T.Tebow,NYJ,-9,-24.2%,17.6,10,45,0,0,75.0%,2012
1748,B.Leftwich,PIT,-12,-14.5%,34.0,56,268,0,1,47.2%,2012
1749,T.Taylor,BAL,-34,-28.3%,45.0,32,113,0,1,58.6%,2012
1750,B.Hoyer,ARI,-60,-26.5%,37.7,57,234,1,2,56.6%,2012
1751,M.Leinart,OAK,-77,-51.2%,11.3,34,50,0,1,48.5%,2012
1752,G.McElroy,NYJ,-82,-44.6%,45.2,42,86,1,1,61.3%,2012
1753,T.J.Yates,HOU,-85,-128.3%,2.1,11,-57,0,1,40.0%,2012
1754,J.Campbell,CHI,-129,-50.2%,23.5,57,103,2,2,62.7%,2012
1755,P.Manning,DEN,"2,475",43.2%,82.9,679,"7,040",55,10,68.5%,2013
1756,P.Rivers,SD,"1,799",34.8%,71.7,575,"5,599",32,11,69.6%,2013
1757,D.Brees,NO,"1,701",26.9%,70.5,687,"5,916",39,12,68.9%,2013
1758,M.Ryan,ATL,"1,124",13.3%,61.1,695,"5,228",26,16,67.7%,2013
1759,N.Foles,PHI,"1,011",35.6%,69.0,347,"3,117",27,2,64.4%,2013
1760,T.Brady,NE,979,10.9%,61.1,665,"4,913",25,10,61.0%,2013
1761,T.Romo,DAL,839,11.5%,59.5,572,"4,120",31,9,64.2%,2013
1762,C.Kaepernick,SF,791,16.6%,68.6,456,"3,358",21,7,58.4%,2013
1763,R.Wilson,SEA,770,15.6%,58.9,453,"3,364",26,8,64.0%,2013
1764,A.Rodgers,GB,740,25.4%,68.7,310,"2,644",18,6,66.8%,2013
1765,B.Roethlisberger,PIT,724,6.6%,54.3,621,"4,267",28,14,64.9%,2013
1766,M.Stafford,DET,690,4.9%,52.6,658,"4,402",29,19,59.1%,2013
1767,J.McCown,CHI,659,32.1%,85.1,236,"2,124",13,1,66.7%,2013
1768,A.Luck,IND,650,4.6%,62.0,606,"4,213",23,9,60.5%,2013
1769,C.Palmer,ARI,547,2.7%,51.9,614,"3,922",24,22,63.7%,2013
1770,A.Dalton,CIN,541,2.3%,55.8,615,"3,976",33,20,62.2%,2013
1771,C.Newton,CAR,421,1.7%,56.2,513,"3,198",24,13,62.1%,2013
1772,J.Cutler,CHI,392,5.5%,66.4,371,"2,437",19,11,64.1%,2013
1773,S.Bradford,STL,304,5.2%,48.0,277,"1,910",14,4,60.7%,2013
1774,A.Smith,KC,262,-3.7%,49.4,545,"3,194",23,7,61.2%,2013
1775,R.Fitzpatrick,TEN,179,-3.6%,55.4,369,"2,147",14,12,62.5%,2013
1776,M.Glennon,TB,99,-7.7%,45.6,459,"2,490",19,9,59.8%,2013
1777,M.Cassel,MIN,92,-5.9%,48.7,271,"1,539",11,9,60.2%,2013
1778,J.Locker,TEN,69,-5.7%,58.1,199,"1,116",8,4,61.0%,2013
1779,K.Clemens,STL,60,-7.5%,38.2,262,"1,424",8,7,58.9%,2013
1780,R.Tannehill,MIA,54,-9.8%,45.8,643,"3,419",24,17,60.8%,2013
1781,M.Vick,PHI,40,-6.9%,58.7,157,819,5,3,55.0%,2013
1782,B.Hoyer,CLE,5,-10.4%,47.5,103,546,5,3,60.4%,2013
1783,M.McGloin,OAK,-11,-11.9%,49.7,219,"1,111",8,8,55.9%,2013
1784,J.Campbell,CLE,-24,-12.2%,38.6,332,"1,715",11,8,57.1%,2013
1785,C.Ponder,MIN,-42,-13.5%,51.2,267,"1,356",7,9,63.8%,2013
1786,R.Griffin,WAS,-60,-13.1%,40.1,495,"2,423",16,12,60.8%,2013
1787,T.Lewis,BUF,-84,-18.7%,24.1,176,785,4,3,59.2%,2013
1788,C.Henne,JAC,-94,-13.9%,31.9,541,"2,623",13,14,61.0%,2013
1789,M.Schaub,HOU,-123,-16.2%,37.3,380,"1,796",10,14,61.3%,2013
1790,J.Freeman,2TM,-176,-29.7%,6.1,156,524,2,4,42.9%,2013
1791,EJ Manuel,BUF,-190,-19.9%,42.3,335,"1,486",11,9,59.2%,2013
1792,C.Keenum,HOU,-191,-22.4%,34.5,270,"1,111",9,6,55.2%,2013
1793,M.Flynn,2TM,-196,-24.5%,3.1,225,917,8,5,62.0%,2013
1794,J.Flacco,BAL,-296,-18.1%,46.7,661,"3,005",19,22,59.1%,2013
1795,K.Cousins,WAS,-314,-42.6%,26.5,160,376,4,7,52.9%,2013
1796,E.Manning,NYG,-335,-20.2%,36.5,590,"2,529",18,26,58.1%,2013
1797,G.Smith,NYJ,-371,-23.6%,35.9,485,"1,888",12,21,55.9%,2013
1798,T.Pryor,OAK,-388,-31.6%,30.5,304,999,8,11,58.0%,2013
1799,B.Weeden,CLE,-443,-36.1%,24.7,293,824,9,9,53.2%,2013
1800,T.Jackson,SEA,83,81.9%,89.0,13,184,1,0,76.9%,2013
1801,K.Orton,DAL,51,4.0%,37.3,51,343,2,2,64.7%,2013
1802,S.Tolzien,GB,13,-9.1%,24.3,91,503,1,5,62.5%,2013
1803,B.Osweiler,DEN,3,-8.5%,41.9,18,102,0,0,68.8%,2013
1804,C.Daniel,KC,-6,-13.6%,78.7,40,183,1,1,65.8%,2013
1805,M.Hasselbeck,IND,-15,-28.6%,38.1,12,48,0,1,58.3%,2013
1806,M.Simms,NYJ,-27,-24.6%,7.2,35,139,1,1,51.6%,2013
1807,S.Wallace,GB,-75,-54.2%,15.2,28,38,0,1,66.7%,2013
1808,M.Barkley,PHI,-84,-34.9%,19.5,52,170,0,4,61.2%,2013
1809,C.Painter,NYG,-103,-91.2%,0.3,19,-37,0,1,50.0%,2013
1810,T.J.Yates,HOU,-109,-78.0%,12.2,24,-17,0,2,68.2%,2013
1811,J.Tuel,BUF,-130,-43.4%,9.6,62,148,1,3,45.0%,2013
1812,B.Gabbert,JAC,-429,-84.1%,1.8,98,-111,1,7,48.8%,2013
1813,B.Roethlisberger,PIT,"1,572",26.8%,72.5,636,"5,483",32,9,68.2%,2014
1814,A.Rodgers,GB,"1,564",32.2%,82.6,550,"5,035",38,5,65.8%,2014
1815,P.Manning,DEN,"1,412",23.9%,77.3,615,"5,166",39,15,66.5%,2014
1816,D.Brees,NO,"1,225",15.7%,71.6,684,"5,342",33,17,69.8%,2014
1817,T.Romo,DAL,"1,187",27.6%,82.8,465,"4,085",34,9,70.3%,2014
1818,T.Brady,NE,"1,176",18.1%,74.3,602,"4,839",33,9,64.4%,2014
1819,M.Ryan,ATL,"1,101",14.9%,67.0,654,"4,907",28,13,66.6%,2014
1820,J.Flacco,BAL,987,15.5%,67.3,569,"4,324",27,12,63.0%,2014
1821,P.Rivers,SD,918,12.6%,66.8,609,"4,365",31,16,67.0%,2014
1822,A.Luck,IND,879,9.2%,63.8,645,"4,681",40,16,62.1%,2014
1823,E.Manning,NYG,642,4.6%,70.9,628,"4,164",30,14,63.3%,2014
1824,R.Tannehill,MIA,630,4.1%,59.1,637,"4,178",27,12,66.7%,2014
1825,R.Wilson,SEA,503,5.5%,62.5,495,"3,128",20,7,63.4%,2014
1826,A.Smith,KC,493,4.1%,49.4,511,"3,285",19,6,65.5%,2014
1827,M.Stafford,DET,423,-0.7%,55.1,645,"3,815",22,12,60.9%,2014
1828,J.Cutler,CHI,398,-0.7%,54.0,602,"3,622",29,15,66.0%,2014
1829,R.Fitzpatrick,HOU,383,6.7%,55.3,334,"2,249",17,8,63.3%,2014
1830,C.Palmer,ARI,285,8.5%,64.8,235,"1,556",11,3,63.3%,2014
1831,N.Foles,PHI,264,1.8%,62.2,322,"2,009",13,10,60.4%,2014
1832,D.Anderson,CAR,254,27.8%,82.8,102,870,5,0,68.4%,2014
1833,D.Stanton,ARI,238,4.2%,58.0,252,"1,576",7,5,55.2%,2014
1834,A.Dalton,CIN,237,-3.7%,55.2,502,"2,882",19,17,64.2%,2014
1835,K.Cousins,WAS,223,4.6%,46.9,212,"1,431",10,9,62.1%,2014
1836,M.Sanchez,PHI,210,-1.4%,58.2,334,"2,018",14,11,64.3%,2014
1837,B.Hoyer,CLE,166,-5.3%,43.1,465,"2,513",12,12,55.7%,2014
1838,K.Orton,BUF,131,-6.8%,42.6,478,"2,647",18,10,64.8%,2014
1839,M.Glennon,TB,107,-3.1%,56.0,219,"1,209",10,6,57.9%,2014
1840,C.Kaepernick,SF,91,-8.4%,55.9,532,"2,816",19,10,60.5%,2014
1841,C.Whitehurst,TEN,49,-7.2%,39.6,200,"1,050",7,2,58.0%,2014
1842,A.Davis,STL,47,-8.8%,37.6,312,"1,687",12,9,63.8%,2014
1843,R.Lindley,ARI,-32,-16.5%,37.8,99,444,2,4,48.4%,2014
1844,G.Smith,NYJ,-33,-12.5%,35.4,395,"1,989",13,13,60.2%,2014
1845,C.McCoy,WAS,-43,-15.9%,46.1,145,663,4,3,71.1%,2014
1846,S.Hill,STL,-46,-14.1%,38.1,248,"1,195",8,7,63.3%,2014
1847,EJ Manuel,BUF,-53,-17.1%,19.8,136,643,5,3,58.9%,2014
1848,C.Newton,CAR,-105,-14.5%,56.9,485,"2,365",18,11,58.7%,2014
1849,D.Carr,OAK,-150,-14.9%,38.4,622,"2,969",21,12,58.9%,2014
1850,T.Bridgewater,MIN,-159,-16.9%,50.2,436,"1,997",14,11,65.4%,2014
1851,J.Locker,TEN,-171,-27.8%,51.1,162,594,5,7,59.2%,2014
1852,Z.Mettenberger,TEN,-211,-28.7%,30.1,197,669,8,7,59.8%,2014
1853,M.Vick,NYJ,-228,-36.8%,22.2,138,408,3,2,54.2%,2014
1854,R.Griffin,WAS,-374,-34.2%,30.8,250,803,4,6,69.2%,2014
1855,J.McCown,TB,-665,-41.9%,35.7,360,833,11,14,57.0%,2014
1856,B.Bortles,JAC,-955,-40.7%,21.9,530,"1,310",11,16,59.1%,2014
1857,R.Mallett,HOU,120,14.5%,48.2,74,544,2,2,56.2%,2014
1858,M.Hasselbeck,IND,71,10.8%,71.6,46,357,2,0,68.2%,2014
1859,B.Weeden,DAL,21,-3.5%,15.4,42,247,3,2,58.5%,2014
1860,B.Osweiler,DEN,-5,-19.7%,10.2,10,39,1,0,44.4%,2014
1861,J.Clausen,CHI,-5,-12.7%,40.6,51,246,2,1,54.2%,2014
1862,J.Garoppolo,NE,-5,-13.8%,19.2,32,151,1,0,70.4%,2014
1863,L.Thomas,ARI,-18,-41.4%,3.9,11,24,1,0,11.1%,2014
1864,T.Savage,HOU,-20,-24.2%,12.7,21,95,0,1,52.6%,2014
1865,C.Daniel,KC,-28,-24.4%,46.4,32,130,0,0,57.1%,2014
1866,C.Keenum,HOU,-50,-20.8%,43.7,80,355,2,2,58.4%,2014
